Rank,Team_Country,Gold,Silver,Bronze,Total,Rank by Total
1,United States of America,39,41,33,113,1
2,People's Republic of China,38,32,18,88,2
5,ROC,20,28,23,71,3
4,Great Britain,22,21,22,65,4
3,Japan,27,14,17,58,5
